Brand,Name,Harga,Rating,Review
Maybelline,Fit Me Matte and Poreless 24HR Oil Control Powder Foundation,Rp170.900,4.8,"(1,3k)"
Make Over,Lash Impulse Waterproof Mascara,Rp121.500Rp135.000,4.7,(256)
Klavuu,Urban Pearlsation High Coverage Tension Cushion EX,Rp374.250-Rp474.050,4.7,(66)
Klavuu,Urban Pearlsation High Coverage Tension Cushion EX (Refill Set),Rp577.150Rp679.000,4.7,(37)
BLP Beauty,Eye Definer,Rp109.000,4.7,(85)
Carasun,Carasun Healthy Matte UV Compact Powder,Rp116.100-Rp122.550,4.7,(37)
Jacquelle Beaute,She'll Blush Forever,Rp109.650Rp129.000,4.9,(269)
Jung Saem Mool,Essential Skin Nuder Longwear Cushion,Rp699.000,4.3,(17)
ESQA,Gleam Primer Serum Hydrating,Rp115.000,4.5,(169)
Dear Me Beauty,Dear Me Beauty Stay Locked All Day Makeup Fixer - Setting Spray,Rp59.950Rp109.000,4.7,(113)
Azarine,Chic to Cheek Blush,Rp59.000,4.7,(132)
Holika Holika,Eye Metal Glitter,Rp169.100Rp178.000,4.7,(295)
ETUDE,Dear Darling Water Tint,Rp82.450Rp85.000,4.5,(15)
PinkFlash,Oilproof Curl Mascara,Rp27.900-Rp29.900,4.5,(163)
Espoir,COUTURE LIP TINT SHINE,Rp269.000,4.7,(87)
Mercredi,POUDRE D’ESSENCE COUTURE Translucent powder,Rp121.440Rp138.000,4.8,(54)
NPure,Power Setter,Rp89.100Rp99.000,4.9,(7)
Focallure,Focallure x Sanrio Tinted Matte Lip Cream,Rp59.900Rp180.000,4.7,(69)
Glamfix,GLAMFIX Perfect Blink Lashes Natural 04 New,Rp16.625Rp17.500,4.7,(17)
Make Over,Powerstay Grip Brow Gel,Rp149.000,4.9,(20)
