Brand,Name,Rating,Review,Harga_Diskon,Harga_Asli
Maybelline,Fit Me Fresh Tint,4.6,879,114900,114900
Holika Holika,Lash Correcting Mascara Hyper Curling,4.8,136,162000,180000
YOU Beauty,YOU NEW FORMULA Rouge Power Matte Lip Cream,4.6,169,83700,93000
YOU Beauty,YOU Cloud Touch Juicy Tint,4.5,246,69300,77000
Clio,"Kill Cover High Glow Cushion SPF 50+, PA++++",4.8,45,382500,510000
Blink Charm,Sweet Classic #3 - 1 Pair Bundling Lem 1Ml,No Rating,0,48057,57900
BLP Beauty,Face Base,4.6,899,99500,199000
Holika Holika,Butter Blur Tint,4.5,92,142500,150000
Guele Cosmetics,BARE Skin Tint,4.7,36,189000,189000
Rose All Day,Frosty Coat Lip Oil,4.7,31,92650,109000
BLP Beauty,Cover Cushion,4.6,972,99500,199000
Amuse,DEW BALM,4.5,31,239200,254150
Holika Holika,Tail Lasting Sharp Pen Liner,4.7,78,159600,168000
Maybelline,Fit Me Matte and Poreless 24HR Oil Control Powder Foundation,4.8,1300,170900,170900
Make Over,Lash Impulse Waterproof Mascara,4.7,256,121500,135000
Klavuu,Urban Pearlsation High Coverage Tension Cushion EX,4.7,66,374250,474050
Klavuu,Urban Pearlsation High Coverage Tension Cushion EX (Refill Set),4.7,37,577150,679000
BLP Beauty,Eye Definer,4.7,85,109000,109000
Carasun,Carasun Healthy Matte UV Compact Powder,4.7,37,116100,122550
Jacquelle Beaute,She'll Blush Forever,4.9,269,109650,129000
Jung Saem Mool,Essential Skin Nuder Longwear Cushion,4.3,17,699000,699000
ESQA,Gleam Primer Serum Hydrating,4.5,169,115000,115000
Dear Me Beauty,Dear Me Beauty Stay Locked All Day Makeup Fixer - Setting Spray,4.7,113,59950,109000
Azarine,Chic to Cheek Blush,4.7,132,59000,59000
Holika Holika,Eye Metal Glitter,4.7,295,169100,178000
ETUDE,Dear Darling Water Tint,4.5,15,82450,85000
PinkFlash,Oilproof Curl Mascara,4.5,163,27900,29900
Espoir,COUTURE LIP TINT SHINE,4.7,87,269000,269000
Mercredi,POUDRE D’ESSENCE COUTURE Translucent powder,4.8,54,121440,138000
NPure,Power Setter,4.9,7,89100,99000
Focallure,Focallure x Sanrio Tinted Matte Lip Cream,4.7,69,59900,180000
Glamfix,GLAMFIX Perfect Blink Lashes Natural 04 New,4.7,17,16625,17500
Make Over,Powerstay Grip Brow Gel,4.9,20,149000,149000
Holika Holika,Mellow Blurring Lip Pencil,4.5,48,178000,178000
Make Over,[LIMITED EDITION] Make Over Glassy Lip Lacquer X Hian Tjen - Lipstik Lip Gloss Make Up,4.6,79,149000,149000
Dear Me Beauty,Airy Liquid Blush,4.7,56,82170,99000
Maybelline,Fit Me Matte and Poreless Primer,4.7,297,139900,139900
YOU Beauty,YOU NoutriWear+ Makeup Stay Lock Mist,4.5,312,52200,58000
Luxcrime,Luxcrime Slim Triangle Precision Brow Pencil,4.8,40,90250,95000
Mercredi,Mercredi - MR228,4.9,6,15840,18000
ETUDE,Color My Brows,4.8,12,106700,110000
barenbliss,Locklook Hydra Smooth Poreless Primer,4.6,16,71100,79000
Emina,Pore Ranger,4.5,1800,61200,68000
ETUDE,Fixing Tint,4.7,3,194750,205000
TIMEPHORIA,ETERNAL LIP MATTE,4.6,2,132000,132000
True To Skin,Skinlike Porefecting Cushion,4.7,139,94170,95460
Goban,Black Diamond Ultra Waterproof Liquid Eyeliner,4.5,1700,83300,119000
ESQA,Seal Primer Serum Mattifying,4.5,287,115000,115000
Studio Tropik,Daily Priming Water Primer Make-up,4.9,7,40260,102198
Secondate,Good Skin Day Concealer,4.7,144,55600,125100
Jung Saem Mool,Essential Skin Nuder Cushion Mini,4.7,18,261250,275000
Focallure,SETTING POWDER,4.6,170,39900,89000
Make Over,Powerstay Fix & Matte Makeup Setting Spray,4.6,557,107100,119000
BLP Beauty,Lip Cloud,4.6,10,104000,109000
Guele Cosmetics,Guèle Dualiner,4.8,32,139000,139000
Espoir,Fresh Setting Fixer,4.7,4,299000,299000
Make Over,Powerstay Brow Volumizer Mascara,5.0,10,139000,139000
Maybelline,Color Sensational Ultimatte Slim Lipstick,4.7,579,135900,135900
Jacquelle Beaute,Jacquelle Tinted Lipcloud x Shani Amelia - Disney 100 Winnie The Pooh Edition,4.9,254,122320,125100
Dear Me Beauty,Dear Me Beauty Hydraglow Lip Stain,4.9,73,65550,69000
Dazzle Me,Supore-Fine Skin Makeup Primer,4.7,6,44910,49900
ESQA,Minimalist Eye Tint Corrector,4.6,73,120000,120000
Make Over,Eye liner pencil,4.4,754,85500,95000
BLP Beauty,Moon Blush,4.7,14,104000,109000
BLP Beauty,Lash Bash,4.7,180,139000,139000
Romand,Glasting Water Gloss,4.4,31,152100,169000
House Of HUR,Moist Ampoule Blusher,4.3,50,174150,182750
Wardah,Colorfit Velvet Matte Lip Mousse,4.6,4300,79900,79900
Loreal Paris,Infallible Oil Killer High Coverage Powder,4.8,921,209000,209000
Jacquelle Beaute,Slim Eyetractive (Eyeliner Pen) Brush Waterproof,4.8,458,48000,84480
Holika Holika,My Fave Mood Eye Palette,4.6,58,286150,295000
Klavuu,White Pearlsation Ideal Backstage Cream,4.8,31,322150,379000
Maybelline,Tattoo Brow 3 Day Styling Gel,4.8,246,149900,149900
Holika Holika,My Fave Mood Eye Palette (Like Shell Collection),4.8,51,295000,295000
PinkFlash,3 Pan Eyeshadow,4.7,205,45900,126000
Focallure,AIR FIT MATTE LIQUID LIPSTICK,4.6,252,42899,140000
Klavuu,Natural Powder Blusher,4.7,46,139750,193500
Dazzle Me,Better than Filter Fixed Loose Powder,4.7,39,44910,49410
Jacquelle Beaute,She'll Kiss Forever,5.0,277,111200,139000
Emina,Cheeklit Pressed Blush,4.4,9400,44000,44000
Jacquelle Beaute,Lip Cloud (Hybrid Lip Cream & Lip Care) - Satin Finish Lip Eye Cheek,4.8,414,59500,101150
ETUDE,Lovely Cookie Blusher,4.7,4,106700,110000
Jacquelle Beaute,Eyetractive,4.8,1000,109480,119000
Focallure,GLOSSY TINT,4.4,253,44000,112000
YOU Beauty,YOU Cloud Touch Fixing Lip Tint,4.7,510,83700,93000
PinkFlash,Silky Velvet Lip Cream,4.5,119,29900,70000
TIRTIR,Mask Fit Red Cushion 4.5g,4.7,70,182000,260000
Wardah,EyeXpert Perfect Precision Liner,4.6,26,58500,58500
Wardah,EyeXpert Volume Expert Mascara,4.5,974,79200,88000
Goban,Goban Ultra Precise Brow Pencil,4.8,171,83300,119000
Instaperfect,Instaperfect Suede Lip Matte,4.9,8,119000,119000
Azarine,Pop The Soda! Highlighter,4.8,89,59000,59000
Espoir,NOMUDGING MASCARA WATERPROOF XP,4.8,15,260100,289000
Dazzle Me,Matte & Gloss Lip Cream Duo,4.6,11,36810,40900
Espoir,PRO TAILOR BE NATURAL CUSHION,4.6,16,489000,489000
Clio,Pro Eye Palette Air Luxury Koshort,4.8,21,360000,480000
Make Over,Hydrastay Liquid Tint Blush,4.7,169,145000,145000
Holika Holika,Piece Matching Shadow Palette,4.7,85,226100,238000
Skintific,Matte Cushion Set,No Rating,0,223790,319700
Goban,Translucent Setting Powder,4.7,670,90300,129000
TIRTIR,Waterism Glow Tint 1.8gr,4.6,6,98000,140000
Romand,Better Than Palette,4.8,54,337500,360000
ESQA,Refill Flawless Cushion Serum SPF 50+ PA+++ Satin,5.0,6,130500,145000
Focallure,Focallure x Sanrio Multi Effect Cushion SPF 50PA+++,4.9,27,139900,239900
